200,96.8613,96.8613,96.8613,96.8613,387.4452
600,96.7828,96.7828,96.7828,96.7828,387.1312
1000,69.1754,69.1754,69.1754,90.1163,297.6425
1400,41.4896,41.4896,41.4896,57.0187,181.4875
1800,41.4111,27.8427,27.8427,41.4111,138.5076
